practice,city,state,zip,consolidator,investor
Banfield Pensacola,Pensacola,FL,32504,Banfield,Mars
Coastal Sunrise Animal Hospital,Pensacola,FL,32504,Heartland Veterinary Partners,Gryphon Investors
Cordova Animal Medical Center,Pensacola,FL,32504,Mission Pet Health,Silver Lake and Shore Capital Partners
Davis Animal Hospital,Pensacola,FL,32514,Mission Pet Health,Silver Lake and Shore Capital Partners
Pine Forest Animal Clinic,Pensacola,FL,32526,VetCor,Harvest Partners
Safe Harbor Animal Hospital,Pensacola,FL,32504,Mission Pet Health,Silver Lake and Shore Capital Partners
Veterinary Emergency Referral Center,Pensacola,FL,32503,Ethos Veterinary Health,JAB Holdings
Partridge Animal Hospital,Petersburg,FL,33702,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Pinecrest,Pinecrest,FL,33156,Banfield,Mars
Pinecrest Veterinary Hospital,Pinecrest,FL,33156,NVA,JAB Holdings
VEG Pinecrest,Pinecrest,FL,33156,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Vetco Total Care - Pinellas Park,Pinellas Park,FL,33781,Vetco Total Care,Petco
Timberlane Pet Hospital & Resort,Plant City,FL,33566,VetCor,Harvest Partners
Banfield Plantation,Plantation,FL,33324,Banfield,Mars
Banfield Sawgrass,Plantation,FL,33323,Banfield,Mars
Chewy Vet Care Plantation,Plantation,FL,33324,Chewy Vet Care,"Chewy, Inc."
VCA Central Park Animal Hospital,Plantation,FL,33324,VCA,Mars
Poinciana Pet Clinic,Poinciana,FL,34759,Alliance Animal Health,L Catterton and LightBay Capital
Banfield Pompano,Pompano,FL,33062,Banfield,Mars
Acacia Animal Hospital - Pompano Beach,Pompano Beach,FL,33064,Veterinary Practice Partners,Audax Private Equity
Pompano Pet Lodge,Pompano Beach,FL,33069,NVA,JAB Holdings
VCA Ponte Vedra Animal Hospital,Ponte Vedra Beach,FL,32082,VCA,Mars
Banfield Port Charlotte,Port Charlotte,FL,33948,Banfield,Mars
Charlotte Animal Hospital,Port Charlotte,FL,33980,Mission Pet Health,Silver Lake and Shore Capital Partners
Groves Veterinary Clinic,Port Charlotte,FL,33953,Alliance Animal Health,L Catterton and LightBay Capital
The Animal Clinic,Port Charlotte,FL,33952,Mission Pet Health,Silver Lake and Shore Capital Partners
Veterinary Emergency Clinic,Port Charlotte,FL,33948,United Veterinary Care,Nordic Capital
Atlantic Animal Hospital ‚Äì Port Orange,Port Orange,FL,32129,NVA,JAB Holdings
Halifax Veterinary Center,Port Orange,FL,32127,Western Veterinary Partners,Tyree & D'Angelo Partners
Ravenwood Veterinary Clinic,Port Orange,FL,32129,Mission Pet Health,Silver Lake and Shore Capital Partners
Vetco Total Care - Port Orange,Port Orange,FL,32128,Vetco Total Care,Petco
Animal Emergency of Pasco,Port Richey,FL,34668,Alliance Animal Health,L Catterton and LightBay Capital
VCA Bayonet Point Animal Hospital,Port Richey,FL,34668,VCA,Mars
Kelly's Animal Hospital,Port Saint Lucie,FL,34986,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Port St. John Veterinary Hospital,Port St. John,FL,32927,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Port St. Lucie,Port St. Lucie,FL,34953,Banfield,Mars
GoodVets West Port St. Lucie,Port St. Lucie,FL,34953,GoodVets,General Atlantic
Kindness Animal Hospital,Port St. Lucie,FL,34984,VetCor,Harvest Partners
Live with Grace Animal Hospital,Port St. Lucie,FL,34987,Veterinary Practice Partners,Audax Private Equity
North Port St. Lucie Animal Hospital,Port St. Lucie,FL,34952,American Veterinary Group,Oak Hill Capital
Vetco Total Care - Port St. Lucie,Port St. Lucie,FL,34986,Vetco Total Care,Petco
Veterinary Medical & Emergency Center,Port St. Lucie,FL,34952,Alliance Animal Health,L Catterton and LightBay Capital
Animal Hospital at Babcock,Punta Gorda,FL,33982,PetVet Care Centers,KKR
Punta Gorda Animal Hospital,Punta Gorda,FL,33950,VetCor,Harvest Partners
Big Bend Animal Hospital,Riverview,FL,33579,Alliance Animal Health,L Catterton and LightBay Capital
Brandon Lakes Animal Hospital,Riverview,FL,33578,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Four Paws Veterinary Hospital,Riverview,FL,33569,Mission Pet Health,Silver Lake and Shore Capital Partners
Livewell Animal Hospital of Riverview,Riverview,FL,33579,Mission Pet Health,Silver Lake and Shore Capital Partners
VEG Viera,Rockledge,FL,32955,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Viera East Veterinary Center,Rockledge,FL,32955,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Royal Palm Beach,Royal Palm Beach,FL,33411,Banfield,Mars
Community Animal Hospital of Royal Palm Beach,Royal Palm Beach,FL,33411,VetCor,Harvest Partners
Wellington,Royal Palm Beach,FL,33411,Petfolk,Undisclosed
Cat Thyroid Center,Ruskin,FL,33570,NVA,JAB Holdings
Fox And Friends Animal Hospital,Ruskin,FL,33573,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Ruskin Animal Hospital,Ruskin,FL,33570,NVA,JAB Holdings
Animal Hospital of Northwood,Safety Harbor,FL,34695,Community Veterinary Partners,OMERS
Animal Medical Clinic at St. Johns,Saint Johns,FL,32259,American Veterinary Group,Oak Hill Capital
Livewell Animal Hospital of St. Johns (coming soon),Saint Johns,FL,32259,Mission Pet Health,Silver Lake and Shore Capital Partners
UrgentVet St. Johns,Saint Johns,FL,32259,American Veterinary Group,Oak Hill Capital
Tampa Bay K9 Rehabilitation Center,Saint Petersburg,FL,33703,NVA,JAB Holdings
San Antonio Animal Hospital,San Antonio,FL,33576,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Integrative Animal Hospital of Central Florida,Sanford,FL,32771,VetCor,Harvest Partners
NewDay Veterinary Care Sanford,Sanford,FL,32771,NewDay Veterinary Care / Pet Paradise,Crane Group
Riverwalk Animal Hospital & Urgent Care,Sanford,FL,32771,Alliance Animal Health,L Catterton and LightBay Capital
Vetco Total Care - Sanford,Sanford,FL,32771,Vetco Total Care,Petco
VCA Sanibel Animal Hospital,Sanibel,FL,33957,VCA,Mars
Animal Medical Clinic of Gulf Gate,Sarasota,FL,34231,Veterinary Practice Partners,Audax Private Equity
Banfield Sarasota,Sarasota,FL,34231,Banfield,Mars
Banfield Sarasota University Park,Sarasota,FL,34243,Banfield,Mars
BluePearl Pet Hospital Sarasota,Sarasota,FL,34231,BluePearl Pet Hospital,Mars
Clark Road Animal Clinic,Sarasota,FL,34233,United Veterinary Care,Nordic Capital
Dr. Nina's Animal Hospital Sarasota,Sarasota,FL,34237,Mission Pet Health,Silver Lake and Shore Capital Partners
Forest Lakes Animal Clinic,Sarasota,FL,34232,American Veterinary Group,Oak Hill Capital
GoodVets Lakewood Ranch,Sarasota,FL,34240,GoodVets,General Atlantic
Gulf Gate Animal Hospital,Sarasota,FL,34231,American Veterinary Group,Oak Hill Capital
Southgate Animal Hospital,Sarasota,FL,34239,American Veterinary Group,Oak Hill Capital
Suncoast Veterinary Emergency & Specialty Center,Sarasota,FL,34231,United Veterinary Care,Nordic Capital
UrgentVet Sarasota,Sarasota,FL,34232,American Veterinary Group,Oak Hill Capital
VCA Lockwood Ridge Animal Hospital,Sarasota,FL,34234,VCA,Mars
Vetco Total Care - Sarasota,Sarasota,FL,34243,Vetco Total Care,Petco
Vetco Total Care - Sarasota,Sarasota,FL,34239,Vetco Total Care,Petco
Animal Hospital of Seminole,Seminole,FL,33772,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Seminole,Seminole,FL,33772,Banfield,Mars
Oakhurst Veterinary Hospital,Seminole,FL,33776,Veterinary Practice Partners,Audax Private Equity
Vetco Total Care - Seminole,Seminole,FL,33772,Vetco Total Care,Petco
VEG South Tampa,South Tampa,FL,33629,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Animal Medical Clinic Of Spring Hill,Spring Hill,FL,34606,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Spring Hill,Spring Hill,FL,34606,Banfield,Mars
County Line Animal Hospital,Spring Hill,FL,34610,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Silverthorn Animal Clinic,Spring Hill,FL,34609,Heartland Veterinary Partners,Gryphon Investors
Spring Hill Animal Clinic,Spring Hill,FL,34609,American Veterinary Group,Oak Hill Capital
VCA San Francis Animal Hospital,Spring Hill,FL,34610,VCA,Mars
Vetco Total Care - St Johns,St Johns,FL,32259,Vetco Total Care,Petco
Bay Moorings Animal Hospital,St Petersburg,FL,33711,NVA,JAB Holdings
VEG St. Petersburg,St Petersburg,FL,33702,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Animal Wellness Center,St. Augustine,FL,32084,CareVet,Compass Group Equity Partners
Antigua Veterinary Practice,St. Augustine,FL,32084,Veterinary Practice Partners,Audax Private Equity
Banfield St. Augustine,St. Augustine,FL,32084,Banfield,Mars
Jackson Veterinary Hospital,St. Augustine,FL,32080,VetCor,Harvest Partners
Livewell Animal Hospital of St. Augustine (coming soon),St. Augustine,FL,32092,Mission Pet Health,Silver Lake and Shore Capital Partners
Nease Animal Hospital,St. Augustine,FL,32095,Alliance Animal Health,L Catterton and LightBay Capital
NewDay Veterinary Care St Johns WGV,St. Augustine,FL,32095,NewDay Veterinary Care / Pet Paradise,Crane Group
St. Johns Veterinary Hospital,St. Augustine,FL,32084,NVA,JAB Holdings
The Pet Shop at St Johns: Debbie Tripp Hope Mast,St. Augustine,FL,32084,NVA,JAB Holdings
Banfield St. Petersburg NE,St. Petersburg,FL,33702,Banfield,Mars
Banfield St. Petersburg Tyrone Sq,St. Petersburg,FL,33710,Banfield,Mars
Bayshore Animal Hospital & Avian Practice,St. Petersburg,FL,33709,Mission Pet Health,Silver Lake and Shore Capital Partners
Central Animal Hospital on Pinellas Point,St. Petersburg,FL,33712,NVA,JAB Holdings
Downtown St Pete Vet Clinic,St. Petersburg,FL,33701,VetCor,Harvest Partners
Haines Road Animal Hospital,St. Petersburg,FL,33714,Mission Pet Health,Silver Lake and Shore Capital Partners
Happy Camper Dog Camp,St. Petersburg,FL,33716,Destination Pet,L1 Health
Heart + Paw - St. Pete,St. Petersburg,FL,33707,Heart + Paw,Waud Capital Partners
Northeast Animal Hospital,St. Petersburg,FL,33704,VetCor,Harvest Partners
Plummer Pet Hospital,St. Petersburg,FL,33710,Community Veterinary Partners,OMERS
Tyrone Veterinary Hospital,St. Petersburg,FL,33710,Mission Pet Health,Silver Lake and Shore Capital Partners
UrgentVet St. Petersburg,St. Petersburg,FL,33710,American Veterinary Group,Oak Hill Capital
VCA Noah's Place Animal Medical Center,St. Petersburg,FL,33702,VCA,Mars
Town and Country Veterinary Clinic,Starke,FL,32091,Alliance Animal Health,L Catterton and LightBay Capital
All Creatures Animal Hospital,Stuart,FL,34997,Western Veterinary Partners,Tyree & D'Angelo Partners
Animal Care Extraordinaire,Stuart,FL,34994,PetVet Care Centers,KKR
Banfield Jensen Beach,Stuart,FL,34994,Banfield,Mars
Stuart Sound Animal Hospital,Stuart,FL,34997,American Veterinary Group,Oak Hill Capital
Vetco Total Care - Stuart,Stuart,FL,34994,Vetco Total Care,Petco
Sun City Center Veterinary Clinic,Sun City Center,FL,33573,Mission Pet Health,Silver Lake and Shore Capital Partners
Animal Hospital of University Drive,Sunrise,FL,33322,Heartland Veterinary Partners,Gryphon Investors
Scarbrough Animal Hospital,Sunrise,FL,33322,NVA,JAB Holdings
Allied Veterinary Emergency Hospital,Tallahassee,FL,32308,VetCor,Harvest Partners
AVS Equine Medical and Surgical Hospital,Tallahassee,FL,32309,NVA,JAB Holdings
Banfield Tallahassee,Tallahassee,FL,32317,Banfield,Mars
North Florida Animal Hospital,Tallahassee,FL,32303,NVA,JAB Holdings
Oakwood Animal Hospital,Tallahassee,FL,32303,NVA,JAB Holdings
Ox Bottom Animal Clinic,Tallahassee,FL,32312,Alliance Animal Health,L Catterton and LightBay Capital
The Animal Hospital and Pet Resort at Southwood,Tallahassee,FL,32311,VetCor,Harvest Partners
Westwood Animal Hospital,Tallahassee,FL,32304,American Veterinary Group,Oak Hill Capital
Animal Doctors Of South Tampa,Tampa,FL,33611,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Banfield Carrollwood Village Center,Tampa,FL,33618,Banfield,Mars
Banfield Citrus Park,Tampa,FL,33625,Banfield,Mars
Banfield Double Branch,Tampa,FL,33635,Banfield,Mars
Banfield N Tampa,Tampa,FL,33647,Banfield,Mars
Banfield Tampa Harris,Tampa,FL,33610,Banfield,Mars
Banfield Tampa Hunters Green,Tampa,FL,33647,Banfield,Mars
Banfield Tampa S,Tampa,FL,33607,Banfield,Mars
Bayshore Animal Clinic,Tampa,FL,33611,Innovetive Pet Care,Metalmark Capital
Beach Park Animal Clinic,Tampa,FL,33609,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
BluePearl Pet Hospital Tampa,Tampa,FL,33614,BluePearl Pet Hospital,Mars
BluePearl Pet Surgery Town ‘N’ Country Tampa,Tampa,FL,33615,BluePearl Pet Hospital,Mars
Circle of Life Animal Hospital,Tampa,FL,33613,American Veterinary Group,Oak Hill Capital
CountryChase Veterinary Hospital,Tampa,FL,33626,American Veterinary Group,Oak Hill Capital
Ehrlich Animal Hospital & Arthritis Therapy Center,Tampa,FL,33626,NVA,JAB Holdings
Eye Care for Animals - Tampa,Tampa,FL,33634,Thrive Pet Healthcare,TSG Consumer Partners
Gandy Animal Hospital,Tampa,FL,33611,NVA,JAB Holdings
GoodVets South Tampa,Tampa,FL,33629,GoodVets,General Atlantic
Hyde Park Veterinary Clinic,Tampa,FL,33606,NVA,JAB Holdings
Keene Veterinary Hospital,Tampa,FL,33624,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Livewell Animal Hospital of Hyde Park (coming soon),Tampa,FL,33606,Mission Pet Health,Silver Lake and Shore Capital Partners
PetSuites Carrollwood,Tampa,FL,33624,NVA,JAB Holdings
Plantation Animal Hospital of Tampa,Tampa,FL,33624,NVA,JAB Holdings
Southpaw Animal Health,Tampa,FL,33618,Mission Pet Health,Silver Lake and Shore Capital Partners
Sunshine Animal Hospital,Tampa,FL,33615,Mission Pet Health,Silver Lake and Shore Capital Partners
Tampa Veterinary Hospital,Tampa,FL,33606,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Carrollwood Cat Hospital,Tampa,FL,33618,VCA,Mars
Vetco Total Care - Tampa,Tampa,FL,33618,Vetco Total Care,Petco
Westchase Veterinary Center and Emergency,Tampa,FL,33626,NVA,JAB Holdings
Saint Francis Pet Care Centers Tarpon Springs,Tarpon Springs,FL,34688,Thrive Pet Healthcare,TSG Consumer Partners
Tarpon Animal Hospital,Tarpon Springs,FL,34689,VetCor,Harvest Partners
Westlake Animal Hospital,Tarpon Springs,FL,34689,Mission Pet Health,Silver Lake and Shore Capital Partners
Colony Plaza Animal Hospital,The Villages,FL,32163,CareVet,Compass Group Equity Partners
UrgentVet The Villages,The Villages,FL,32162,American Veterinary Group,Oak Hill Capital
VCA Buffalo Ridge Animal Hospital,The Villages,FL,32162,VCA,Mars
The Lodge,Thonotosassa,FL,33592,NVA,JAB Holdings
Vetco Total Care - Titusville,Titusville,FL,32780,Vetco Total Care,Petco
Young's Animal Hospital,Titusville,FL,32780,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Trinity,Trinity,FL,34655,Banfield,Mars
Saint Francis Pet Care Centers Trinity CLOSED,Trinity,FL,34655,Thrive Pet Healthcare,TSG Consumer Partners
Trinity Oaks Pet Wellness Center,Trinity,FL,34655,Alliance Animal Health,L Catterton and LightBay Capital
Dermatology For Animals Valrico,Valrico,FL,33596,Thrive Pet Healthcare,TSG Consumer Partners
PetSuites Bloomingdale,Valrico,FL,33596,NVA,JAB Holdings
UrgentVet Brandon,Valrico,FL,33596,American Veterinary Group,Oak Hill Capital
Valrico Animal Clinic,Valrico,FL,33596,VetCor,Harvest Partners
Bright Cross Animal Clinic,Venice,FL,34293,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Vero Beach,Vero Beach,FL,32966,Banfield,Mars
Dr. Dan's Animal Hospital,Vero Beach,FL,32960,VetEvolve,Varsity Healthcare Partners
Pawprints Vero Beach,Vero Beach,FL,32966,Destination Pet,L1 Health
VCA Florida Veterinary League,Vero Beach,FL,32960,VCA,Mars
Vero Beach Veterinary Hospital,Vero Beach,FL,32960,NVA,JAB Holdings
Banfield Wellington,Wellington,FL,33414,Banfield,Mars
Palm Beach Equine Clinic,Wellington,FL,33414,PetVet Care Centers,KKR
Vetco Total Care - Wellington,Wellington,FL,33414,Vetco Total Care,Petco
Banfield Wesley Chapel,Wesley Chapel,FL,33544,Banfield,Mars
GoodVets Wesley Chapel,Wesley Chapel,FL,33545,GoodVets,General Atlantic
Livewell Animal Hospital of Wesley Chapel,Wesley Chapel,FL,33544,Mission Pet Health,Silver Lake and Shore Capital Partners
Quail Hollow Animal Hospital,Wesley Chapel,FL,33545,NVA,JAB Holdings
The Pet Dentist - Wesley Chapel,Wesley Chapel,FL,33544,Animal Outpatient Specialty Network (AOSN),Percheron Capital
Vetco Total Care - Wesley Chapel,Wesley Chapel,FL,33544,Vetco Total Care,Petco
VCA Cabrera Animal Hospital,West Miami,FL,33144,VCA,Mars
Animal Eye Guys (West Palm Beach),West Palm Beach,FL,33406,PetVet Care Centers,KKR
Banfield West Palm Beach,West Palm Beach,FL,33401,Banfield,Mars
CVCA Cardiac Care for Pets - West Palm Beach,West Palm Beach,FL,33406,Mission Pet Health,Silver Lake and Shore Capital Partners
El Cid Animal Clinic,West Palm Beach,FL,33405,VetCor,Harvest Partners
Healing Arts Veterinary Center,West Palm Beach,FL,33409,Western Veterinary Partners,Tyree & D'Angelo Partners
Posh Pet Hotel,West Palm Beach,FL,33405,NVA,JAB Holdings
River Bridge Animal Hospital,West Palm Beach,FL,33413,CareVet,Compass Group Equity Partners
Shores Animal Clinic,West Palm Beach,FL,33406,Mission Pet Health,Silver Lake and Shore Capital Partners
Summit Boulevard Animal Hospital,West Palm Beach,FL,33406,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Palm Beach Veterinary Specialists,West Palm Beach,FL,33406,VCA,Mars
UrgentVet Westchase,Westchase,FL,33626,American Veterinary Group,Oak Hill Capital
Hometown Animal Hospital,Weston,FL,33326,NVA,JAB Holdings
VCA Indian Trace Animal Hospital,Weston,FL,33326,VCA,Mars
PriorityPet Urgent Care of Wildwood,Wildwood,FL,34785,Alliance Animal Health,L Catterton and LightBay Capital
Sumter County Animal Hospital,Wildwood,FL,34785,Alliance Animal Health,L Catterton and LightBay Capital
Sumter County Animal Hospital Grooming,Wildwood,FL,34785,Alliance Animal Health,L Catterton and LightBay Capital
Windermere,Windermere,FL,34786,Petfolk,Undisclosed
Banfield Winter Garden,Winter Garden,FL,34787,Banfield,Mars
West Orange Veterinary Hospital at Hamlin,Winter Garden,FL,34787,Alliance Animal Health,L Catterton and LightBay Capital
West Orange Veterinary Hospital at Stoneybrook,Winter Garden,FL,34787,Alliance Animal Health,L Catterton and LightBay Capital
West Orange Veterinary Hospital – Vineland,Winter Garden,FL,34787,Alliance Animal Health,L Catterton and LightBay Capital
Winter Garden Animal Hospital,Winter Garden,FL,34787,American Veterinary Group,Oak Hill Capital
Compassion Animal Hospital,Winter Haven,FL,33880,American Veterinary Group,Oak Hill Capital
Dunham Animal Hospital,Winter Haven,FL,33880,VetCor,Harvest Partners
Orchid Springs Animal Hospital,Winter Haven,FL,33884,Mission Pet Health,Silver Lake and Shore Capital Partners
McAbee Veterinary Hospital,Winter Park,FL,32792,NVA,JAB Holdings
VEG Winter Park,Winter Park,FL,32789,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Banfield Winter Springs,Winter Springs,FL,32708,Banfield,Mars
Winter Springs Veterinary Clinic,Winter Springs,FL,32708,United Veterinary Care,Nordic Capital
NewDay Veterinary Care Amelia,Yulee,FL,32097,NewDay Veterinary Care / Pet Paradise,Crane Group
Acworth Animal Hospital,Acworth,GA,30101,American Veterinary Group,Oak Hill Capital
Banfield Acworth,Acworth,GA,30101,Banfield,Mars
Brookstone Animal Hospital,Acworth,GA,30101,Mission Pet Health,Silver Lake and Shore Capital Partners
Cedarcrest Animal Hospital,Acworth,GA,30101,Mission Pet Health,Silver Lake and Shore Capital Partners
Lake City Animal Hospital,Acworth,GA,30101,American Veterinary Group,Oak Hill Capital
"Dockery, Mobley & Associates Animal Hospital",Albany,GA,31707,PetVet Care Centers,KKR
Spelts & Masters Veterinary Clinic,Albany,GA,31707,Heartland Veterinary Partners,Gryphon Investors
Alpharetta Veterinary Specialty & Emergency (AVSE Alpharetta),Alpharetta,GA,30022,Ethos Veterinary Health,JAB Holdings
Chewy Vet Care Halcyon,Alpharetta,GA,30005,Chewy Vet Care,"Chewy, Inc."
Crabapple Knoll Veterinary Clinic,Alpharetta,GA,30004,VetCor,Harvest Partners
Hamby Road Animal Hospital,Alpharetta,GA,30004,NVA,JAB Holdings
Little River Animal Hospital,Alpharetta,GA,30004,Mission Pet Health,Silver Lake and Shore Capital Partners
Loving Hands Animal Clinic & Pet Resort,Alpharetta,GA,30004,PetVet Care Centers,KKR
Mill Creek Animal Hospital,Alpharetta,GA,30022,CareVet,Compass Group Equity Partners
Milton Animal Hospital,Alpharetta,GA,30004,Veterinary Practice Partners,Audax Private Equity
Pet Lodge Pet Resort,Alpharetta,GA,30004,NVA,JAB Holdings
VEG Alpharetta,Alpharetta,GA,30009,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Veterinary Medical Center,Alpharetta,GA,30022,VetCor,Harvest Partners
Gaines Shoal Animal Clinic,Athens,GA,30605,Heartland Veterinary Partners,Gryphon Investors
Good Hands Veterinary Hospital,Athens,GA,30606,VetCor,Harvest Partners
Ansley Animal Clinic,Atlanta,GA,30324,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Buckhead,Atlanta,GA,30305,Banfield,Mars
Banfield Castlegate,Atlanta,GA,30318,Banfield,Mars
Banfield Midtown,Atlanta,GA,30308,Banfield,Mars
Bark and Board,Atlanta,GA,30319,NVA,JAB Holdings
Bark and Board,Atlanta,GA,30309,NVA,JAB Holdings
BluePearl Pet Hospital Westside Atlanta,Atlanta,GA,30318,BluePearl Pet Hospital,Mars
Brookhaven Animal Hospital,Atlanta,GA,30319,Innovetive Pet Care,Metalmark Capital
Chewy Vet Care Fountain Oaks,Atlanta,GA,30342,Chewy Vet Care,"Chewy, Inc."
Chewy Vet Care Midtown,Atlanta,GA,30308,Chewy Vet Care,"Chewy, Inc."
CityVet - Midtown Veterinary Clinic & Urgent Care,Atlanta,GA,30309,CityVet,RiverGlade Capital
Common Companion Vet Co. – Inman Park,Atlanta,GA,30307,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Common Companion Vet Co. – Reynoldstown,Atlanta,GA,30316,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Doguroo,Atlanta,GA,30318,NVA,JAB Holdings
GoodVets Toco Hills,Atlanta,GA,30329,GoodVets,General Atlantic
GoodVets West Buckhead,Atlanta,GA,30318,GoodVets,General Atlantic
GoodVets West Midtown,Atlanta,GA,30318,GoodVets,General Atlantic
Inman Park Animal Hospital,Atlanta,GA,30307,Mission Pet Health,Silver Lake and Shore Capital Partners
K-9 Coach,Atlanta,GA,30339,Destination Pet,L1 Health
MedVet Atlanta,Atlanta,GA,30345,MedVet,Minority stake by Leonard Green & Partners
Mt Paran Animal Hospital,Atlanta,GA,30342,Mission Pet Health,Silver Lake and Shore Capital Partners
Paces Ferry Veterinary Clinic,Atlanta,GA,30339,Mission Pet Health,Silver Lake and Shore Capital Partners
Peachtree Hills Animal Hospital,Atlanta,GA,30305,United Veterinary Care,Nordic Capital
Petfolk Veterinary & Urgent Care - Grant Park,Atlanta,GA,30315,Petfolk,Undisclosed
Pharr Road Animal Hospital,Atlanta,GA,30305,Mission Pet Health,Silver Lake and Shore Capital Partners
Powers Ferry Animal Hospital,Atlanta,GA,30339,Mission Pet Health,Silver Lake and Shore Capital Partners
The Village Vets Buckhead,Atlanta,GA,30327,Mission Pet Health,Silver Lake and Shore Capital Partners
The Village Vets Virginia-Highland,Atlanta,GA,30306,Mission Pet Health,Silver Lake and Shore Capital Partners
The Village Vets Westside,Atlanta,GA,30318,Mission Pet Health,Silver Lake and Shore Capital Partners
Treehouse Animal Clinic,Atlanta,GA,30318,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
VCA Briarcliff Animal Hospital,Atlanta,GA,30306,VCA,Mars
VCA Buckhead Animal Hospital,Atlanta,GA,30324,VCA,Mars
VCA Midtown Animal Hospital,Atlanta,GA,30324,VCA,Mars
Vernon Woods Animal Hospital,Atlanta,GA,30328,Innovetive Pet Care,Metalmark Capital
Vetco Total Care - Atlanta,Atlanta,GA,30307,Vetco Total Care,Petco
West End Animal Wellness Center,Atlanta,GA,30310,CareVet,Compass Group Equity Partners
Wieuca Animal Clinic,Atlanta,GA,30342,Alliance Animal Health,L Catterton and LightBay Capital
Auburn Animal Hospital,Auburn,GA,30011,VetCor,Harvest Partners
Aidmore Animal Clinic,Augusta,GA,30909,Heartland Veterinary Partners,Gryphon Investors
All God's Creatures,Augusta,GA,30909,Heartland Veterinary Partners,Gryphon Investors
Banfield Augusta,Augusta,GA,30909,Banfield,Mars
BluePearl Pet Hospital Augusta,Augusta,GA,30909,BluePearl Pet Hospital,Mars
Highland Animal Hospital,Augusta,GA,30904,PetVet Care Centers,KKR
Paradise Animal Hospital,Augusta,GA,30909,Heartland Veterinary Partners,Gryphon Investors
Saint Francis Animal Hospital,Augusta,GA,30909,Alliance Animal Health,L Catterton and LightBay Capital
Banfield Austell,Austell,GA,30106,Banfield,Mars
Bullard Animal Hospital,Austell,GA,30106,PetVet Care Centers,KKR
Bainbridge Animal Hospital,Bainbridge,GA,39817,American Veterinary Group,Oak Hill Capital
Barnesville Animal Clinic,Barnesville,GA,30204,VetCor,Harvest Partners
Banfield Winder,Bethlehem,GA,30620,Banfield,Mars
Blairsville Animal Hospital,Blairsville,GA,30512,Mission Pet Health,Silver Lake and Shore Capital Partners
Faulkville Animal Hospital,Bloomingdale,GA,31302,NVA,JAB Holdings
Pooler Veterinary Hospital,Bloomingdale,GA,31302,Veterinary Practice Partners,Audax Private Equity
Cohutta Animal Clinic,Blue Ridge,GA,30513,Western Veterinary Partners,Tyree & D'Angelo Partners
Mountain Emergency Animal Center,Blue Ridge,GA,30513,Alliance Animal Health,L Catterton and LightBay Capital
Ocoee Animal Hospital,Blue Ridge,GA,30513,VetCor,Harvest Partners
Mars Hill Animal Hospital,Bogart,GA,30622,VetCor,Harvest Partners
North Oconee Animal Hospital,Bogart,GA,30622,Mission Pet Health,Silver Lake and Shore Capital Partners
Bowdon Animal Hospital,Bowdon,GA,30108,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Best Friend Veterinary & Pet Lodge,Braselton,GA,30517,Mission Pet Health,Silver Lake and Shore Capital Partners
Chateau Animal Hospital,Braselton,GA,30517,Mission Pet Health,Silver Lake and Shore Capital Partners
North Brookhaven Veterinary Hospital,Brookhaven,GA,30319,PetVet Care Centers,KKR
VEG Brookhaven,Brookhaven,GA,30319,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Coastal Animal Hospital,Brunswick,GA,31520,VetCor,Harvest Partners
Southeast Georgia Veterinary Clinic,Brunswick,GA,31523,VetCor,Harvest Partners
Animal Hospital of North Gwinnett,Buford,GA,30518,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Mill Creek,Buford,GA,30519,Banfield,Mars
